Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,Passes,Yards,EYds Rank,EYds,TD,Catch Rate Rank,Catch Rate,FUM,DPI
Z. Pascal,IND,57,-61,57,-61,57,-25.7%,57,-25.8%,60,340,57,290,3,54,57%,1,2/65
L. Shenault,JAX,58,-107,58,-97,58,-33.0%,58,-31.1%,71,441,58,270,0,34,63%,1,0/0
R. Anderson,CAR,59,-169,59,-166,59,-45.3%,59,-44.7%,69,288,59,172,3,59,42%,0,0/0

Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,Passes,Yards,EYds Rank,EYds,TD,Catch Rate Rank,Catch Rate,FUM,DPI
H. Ruggs,LV,1,139,1,142,8,33.6%,8,34.9%,36,469,3,448,2,27,67%,0,1/45
B. Edwards,LV,2,128,3,125,15,24.9%,15,24.2%,40,446,1,465,2,75,55%,0,3/57
A. Brown,TB,3,125,4,122,16,24.2%,17,23.3%,42,418,2,459,4,22,69%,0,1/7
B. Pringle,KC,4,122,2,127,7,36.1%,5,38.4%,32,338,8,383,3,18,72%,0,0/0
R. Cobb,GB,5,113,5,113,18,22.3%,18,22.2%,39,375,4,431,5,19,72%,0,0/0
D. Harris,NO,6,104,8,97,21,18.4%,22,16.1%,45,427,5,427,2,58,60%,0,1/27
D. Jackson,2TM,7,100,7,97,4,45.7%,4,43.7%,20,361,21,287,2,58,60%,1,2/47
D. Peoples-Jones,CLE,8,95,9,88,12,28.2%,13,25.5%,28,340,13,328,3,35,64%,1,1/14
C. Wilson,DAL,9,92,11,80,24,13.4%,29,10.0%,44,420,6,425,3,24,68%,0,1/14
G. Davis,BUF,10,89,6,98,13,27.6%,9,31.9%,27,312,16,311,2,41,63%,0,1/7
K. Cole,NYJ,11,78,12,78,23,16.5%,21,16.3%,33,299,11,334,0,68,58%,0,2/55
D. Carter,WAS,12,78,14,71,20,19.6%,20,16.8%,31,261,17,311,3,67,58%,0,0/0
J. Jones,TEN,13,75,22,56,22,18.2%,28,10.3%,31,336,18,308,0,26,68%,0,0/0
D. Parker,MIA,14,75,28,40,29,9.5%,43,-0.8%,43,327,7,384,1,66,58%,0,1/21
R. Bateman,BAL,15,71,10,82,31,8.8%,26,12.0%,38,301,9,374,0,33,66%,0,3/80
16-B.Zylstra,CAR,16,71,13,77,3,53.0%,1,58.9%,14,188,42,192,1,2,86%,0,0/0
Q. Cephus,DET,17,66,16,67,17,23.5%,16,23.8%,22,204,30,246,2,24,68%,0,1/28
N. Westbrook-Ikhine,TEN,18,65,15,67,28,10.0%,27,10.7%,36,297,12,330,3,21,69%,1,1/30
C. Conley,HOU,19,63,18,62,14,25.0%,14,24.5%,22,233,37,228,1,36,64%,1,0/0
Z. Jones,LV,20,61,21,57,19,21.8%,19,19.6%,23,236,33,234,1,56,61%,0,1/33
K. Hinton,DEN,21,59,19,59,10,30.5%,10,30.3%,16,145,41,198,1,8,75%,0,1/20
K. Golladay,NYG,22,56,17,66,37,3.4%,33,6.0%,41,372,10,370,0,72,56%,0,4/31
M. Goodwin,CHI,23,55,25,43,30,8.9%,35,4.3%,33,277,20,290,1,90,48%,0,2/58
C. Sims,WAS,24,52,23,48,1,57.2%,2,51.1%,9,81,60,138,1,5,78%,0,1/13
T. Sharpe,ATL,25,49,20,58,27,10.5%,23,14.8%,27,213,29,246,0,5,78%,0,1/19
85-A.Wesley,ARI,26,46,26,41,5,39.9%,7,35.0%,11,113,59,138,0,15,73%,0,1/35
T. Smith,NO,27,45,27,41,32,7.5%,34,5.7%,30,236,31,246,2,27,67%,0,0/0
N. Harry,NE,28,43,24,44,6,37.9%,6,38.1%,10,117,63,134,0,3,80%,0,1/10
A. Humphries,WAS,29,43,37,30,35,3.8%,45,-1.3%,34,269,22,276,0,13,74%,0,1/21
M. Sanu,SF,30,40,35,31,33,6.6%,38,1.9%,24,177,35,230,0,42,63%,0,3/23
J. Proche,BAL,31,37,32,35,9,32.3%,11,29.0%,11,118,66,122,0,15,73%,0,0/0
84-L.Humphrey,NO,32,37,34,31,2,55.8%,3,45.6%,8,78,72,98,1,42,63%,0,0/0
P. Campbell,IND,33,34,38,30,26,10.9%,31,7.9%,17,162,52,167,1,62,59%,0,2/18
J. Smith,NYJ,34,34,33,31,11,28.8%,12,26.0%,9,98,67,116,0,27,67%,0,2/18
A. Lazard,GB,35,30,29,39,45,-1.5%,39,1.9%,32,223,24,262,3,61,59%,0,1/25
M. Gallup,DAL,36,28,47,16,46,-2.1%,53,-6.7%,30,228,26,257,0,70,57%,0,2/19
J. Reynolds,2TM,37,28,30,39,34,5.0%,25,12.3%,21,160,53,167,1,50,62%,0,1/8
Q. Watkins,PHI,38,27,43,22,49,-4.6%,51,-6.2%,43,431,15,311,0,34,65%,0,0/0
N. Collins,HOU,39,24,44,21,47,-2.5%,47,-3.9%,29,230,34,233,0,49,62%,0,1/10
A. Dulin,IND,40,24,36,30,38,2.8%,32,6.7%,18,148,55,162,1,55,61%,0,2/54
K. Osborn,MIN,41,24,52,12,50,-5.8%,59,-9.0%,47,365,14,315,2,31,66%,0,1/18
M. Hollins,MIA,42,23,31,37,40,0.4%,30,8.0%,22,178,46,179,3,76,55%,0,0/0
J. Jeudy,DEN,43,23,39,25,48,-2.7%,46,-1.9%,31,253,38,220,0,7,77%,1,0/0
T. Hilton,IND,44,21,41,22,43,-0.1%,40,0.7%,21,155,51,168,1,50,62%,0,0/0
I. Ford,MIA,45,21,42,22,25,11.7%,24,13.9%,11,108,71,99,1,36,64%,0,0/0
J. Palmer,LAC,46,21,45,20,41,0.4%,41,0.0%,20,168,56,158,1,8,75%,0,0/0
J. Ross,NYG,47,16,46,17,44,-1.2%,42,-0.3%,18,217,61,135,1,73,56%,1,0/0
C. Rogers,TEN,48,14,49,14,51,-7.1%,55,-7.3%,33,238,36,230,1,57,61%,0,2/33
O. Zaccheaus,ATL,49,14,51,12,53,-8.0%,57,-8.4%,36,222,25,259,3,79,53%,0,1/2
M. Turner,DAL,50,13,57,10,39,2.3%,44,-1.0%,11,51,76,88,2,36,64%,0,0/0
15-J.Jennings,SF,51,12,48,15,42,-0.1%,36,3.7%,12,62,74,92,2,65,58%,0,0/0
10-D.Fitzpatrick,TEN,52,10,56,10,36,3.6%,37,3.3%,8,49,84,67,1,42,63%,0,0/0
D. Robinson,KC,53,10,50,13,52,-7.3%,50,-5.8%,26,176,54,165,2,52,62%,0,0/0
S. Shepard,NYG,54,9,40,24,56,-10.2%,49,-5.8%,43,324,19,295,1,12,74%,0,2/21
D. Chark,JAX,55,6,55,11,54,-9.4%,52,-6.4%,22,154,58,151,2,102,32%,0,1/36
D. Duvernay,BAL,56,4,54,11,58,-11.1%,56,-8.3%,33,205,39,208,2,15,73%,0,0/0
J. Washington,PIT,57,4,61,2,57,-11.1%,61,-11.6%,29,184,43,188,1,63,59%,0,2/42
T. Austin,JAX,58,3,58,7,55,-10.0%,54,-7.3%,16,106,68,106,1,42,63%,0,0/0
S. Watkins,BAL,59,3,65,-1,60,-11.8%,64,-12.9%,40,355,27,255,0,69,58%,1,0/0
J. Guyton,LAC,60,2,60,4,61,-11.8%,60,-11.0%,28,199,48,176,0,82,50%,0,1/15
M. Johnson,TEN,61,1,53,12,62,-11.8%,48,-5.3%,19,160,64,134,0,92,47%,0,1/18
T. Montgomery,NO,62,1,74,-12,59,-11.7%,78,-22.8%,15,85,70,99,0,14,73%,0,0/0
D. Mims,NYJ,63,-1,59,4,63,-13.9%,58,-8.8%,14,129,77,88,0,82,50%,0,0/0
E. St. Brown,GB,64,-2,66,-1,66,-14.7%,66,-14.2%,10,62,82,69,0,58,60%,0,1/2
A. Schwartz,CLE,65,-2,76,-12,64,-14.2%,79,-23.0%,17,117,73,95,0,93,47%,0,0/0
C. Hogan,NO,66,-2,63,0,71,-16.0%,63,-12.6%,8,41,91,48,1,82,50%,0,0/0
K. Hamler,DEN,67,-2,67,-2,70,-15.9%,68,-14.8%,10,74,87,59,0,82,50%,0,0/0
N. Brown,DAL,68,-4,73,-12,67,-15.3%,73,-19.7%,22,170,65,131,0,36,64%,0,0/0
J. Agnew,JAX,69,-5,85,-25,65,-14.4%,74,-20.4%,39,229,28,251,1,52,62%,0,0/0
F. Swain,SEA,70,-6,69,-4,68,-15.5%,67,-14.8%,30,201,57,155,3,70,57%,0,0/0
D. Byrd,CHI,71,-6,64,0,75,-19.3%,65,-13.0%,12,74,83,68,0,8,75%,0,0/0
C. Moore,HOU,72,-7,72,-11,73,-18.3%,76,-21.9%,15,149,78,84,1,1,93%,0,0/0
T. Johnson,TB,73,-7,62,1,69,-15.7%,62,-12.2%,31,225,47,176,0,54,61%,0,0/0
T. Sherfield,SF,74,-8,68,-3,78,-22.1%,70,-16.4%,11,46,88,57,1,94,45%,0,0/0
R. Gage,ATL,75,-11,70,-9,72,-16.1%,69,-15.5%,41,270,32,242,2,32,66%,0,0/0
B. Skowronek,LAR,76,-12,77,-13,87,-33.0%,86,-34.5%,8,38,99,31,0,82,50%,0,0/0
M. Thomas,CIN,77,-13,71,-9,86,-32.1%,80,-27.1%,8,52,97,35,0,42,63%,0,0/0
W. Fuller,MIA,78,-15,82,-21,89,-35.1%,99,-44.1%,8,26,98,32,0,82,50%,0,0/0
D. Milne,WAS,79,-17,84,-24,84,-30.4%,88,-38.9%,11,71,90,51,0,36,64%,1,1/16
J. Darden,TB,80,-19,78,-15,99,-46.6%,90,-40.1%,8,43,102,17,0,8,75%,0,0/0
R. Higgins,CLE,81,-19,75,-12,76,-20.6%,71,-17.7%,31,185,50,170,1,91,48%,0,1/9
D. Westbrook,MIN,82,-21,79,-17,90,-37.1%,85,-33.0%,12,66,93,38,0,27,67%,0,0/0
D. Pettis,NYG,83,-21,81,-18,85,-30.5%,82,-28.0%,16,87,86,65,1,42,63%,0,0/0
B. Berrios,NYJ,84,-22,87,-26,77,-21.0%,77,-22.3%,35,240,45,186,1,20,71%,0,0/0
O. Beckham,2TM,85,-23,89,-33,74,-19.0%,75,-21.7%,47,331,23,265,1,81,51%,0,0/0
P. Hart,SEA,86,-24,83,-24,97,-45.3%,100,-44.4%,9,38,100,25,0,95,44%,0,0/0
A. Miller,2TM,87,-25,88,-32,93,-40.1%,101,-47.2%,12,25,95,38,1,82,50%,0,0/0
D. Brown,WAS,88,-28,97,-45,82,-29.8%,92,-40.7%,20,81,75,91,0,99,40%,0,1/35
I. McKenzie,BUF,89,-28,86,-26,102,-57.4%,103,-53.3%,8,26,103,10,0,42,63%,0,0/0
M. Valdes-Scantling,GB,90,-29,80,-18,79,-22.5%,72,-18.8%,39,309,40,199,2,97,44%,0,0/0
A. Wilson,MIA,91,-36,94,-44,81,-28.2%,84,-31.7%,29,178,62,135,0,23,69%,0,1/16
K. Stills,NO,92,-41,91,-36,96,-44.2%,91,-40.7%,17,64,92,45,1,103,29%,0,0/0
L. Treadwell,JAX,93,-41,90,-35,100,-47.0%,95,-42.5%,15,82,96,36,0,99,40%,0,0/0
17-T.Benson,DET,94,-42,93,-44,91,-37.3%,87,-38.5%,19,72,81,76,0,95,44%,0,2/29
P. Williams,MIA,95,-42,96,-45,94,-41.6%,98,-43.8%,16,71,89,56,0,101,38%,0,1/16
D. Slayton,NYG,96,-46,98,-46,80,-28.1%,81,-28.0%,37,267,49,175,1,80,51%,1,1/5
J. Smith-Schuster,PIT,97,-47,103,-64,88,-34.7%,96,-42.7%,28,129,69,104,0,78,54%,0,0/0
R. McCloud,PIT,98,-50,99,-52,92,-38.6%,89,-39.6%,24,141,79,84,0,4,79%,1,0/0
K. Hodge,DET,99,-54,92,-44,103,-57.8%,102,-49.2%,14,51,101,18,0,98,43%,0,1/14
C. Johnson,NYG,100,-56,95,-44,101,-50.5%,94,-42.4%,20,89,94,38,0,82,50%,0,0/0
J. Reagor,PHI,101,-59,100,-56,83,-30.1%,83,-29.3%,45,201,44,186,2,73,56%,0,2/95
T. Marshall,CAR,102,-66,101,-62,98,-45.4%,97,-43.6%,26,116,85,67,0,77,54%,0,0/0
D. Amendola,HOU,103,-70,102,-64,95,-43.9%,93,-41.1%,29,135,80,79,1,63,59%,1,0/0

Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,Runs,Yards,TD,FUM
D. Samuel,SF,1,147,1,153,8,71.1%,7,75.3%,25,203,5,0
J. Agnew,JAX,2,65,2,62,2,127.7%,5,121.2%,7,111,1,0
K. Bourne,NE,3,58,3,58,1,267.8%,1,267.4%,6,78,0,0
T. Hill,KC,4,49,4,48,7,71.7%,8,69.0%,8,94,0,0
E. Moore,NYJ,5,42,5,42,4,117.2%,6,117.5%,4,45,1,0
I. McKenzie,BUF,6,34,6,35,3,121.6%,3,125.4%,5,27,1,0
R. Woods,LAR,7,33,7,32,10,55.4%,10,51.9%,8,46,1,0
D. Moore,CAR,8,28,9,26,11,31.2%,11,26.0%,7,35,0,0
D. Duvernay,BAL,9,27,8,31,6,101.1%,4,125.4%,4,41,0,0
R. Moore,ARI,10,25,12,21,14,-8.5%,15,-12.8%,12,62,0,0
F. Swain,SEA,11,23,13,21,9,70.3%,9,59.0%,4,29,0,0
J. Landry,CLE,12,21,10,24,13,0.2%,13,6.3%,5,28,2,1
81-J.Smith,NE,13,19,11,23,5,110.2%,2,135.0%,5,29,0,0
C. Claypool,PIT,14,15,14,14,17,-15.5%,17,-17.5%,8,52,0,0
J. Reagor,PHI,15,14,15,14,12,17.9%,12,18.8%,5,25,0,0
C. Lamb,DAL,16,11,16,11,16,-14.3%,16,-12.8%,5,30,0,0
L. Shenault,JAX,17,10,17,10,15,-11.9%,14,-11.0%,7,30,0,0
J. Guyton,LAC,18,0,19,-1,18,-37.8%,19,-41.3%,5,34,0,1
D. Carter,WAS,19,0,18,-1,19,-39.5%,18,-40.5%,6,45,0,1
J. Chase,CIN,20,-1,20,-2,21,-43.1%,20,-43.7%,6,15,0,0
T. Montgomery,NO,21,-1,23,-7,20,-41.1%,22,-50.3%,10,27,0,0
M. Hardman,KC,22,-3,22,-4,23,-58.0%,23,-65.2%,5,36,0,1
B. Aiyuk,SF,23,-4,21,-2,22,-57.2%,21,-46.7%,4,13,0,0

