,2019 TAR,2019 REC,2019 REC YARDS,2019 AVG REC YARDS,2019 REC TDS,2019 RUSH CAR,2019 RUSH YARDS,2019 RUSH TDS,2019 FPTS
0,185.0,149.0,1725.0,11.6,9.0,1.0,-9.0,0.0,374.6
1,150.0,104.0,1165.0,11.2,7.0,2.0,18.0,0.0,268.54
2,157.0,99.0,1394.0,14.1,6.0,2.0,-3.0,0.0,274.1
3,120.0,86.0,1333.0,15.5,9.0,1.0,8.0,0.0,276.1
4,127.0,83.0,997.0,12.0,5.0,0.0,0.0,0.0,212.7
5,89.0,58.0,860.0,14.8,7.0,8.0,23.0,0.0,188.3
6,115.0,67.0,1157.0,17.3,8.0,0.0,0.0,0.0,232.7
7,47.0,30.0,418.0,13.9,6.0,4.0,6.0,1.0,114.4
8,135.0,87.0,1175.0,13.5,4.0,6.0,40.0,0.0,230.5
9,116.0,65.0,1190.0,18.3,11.0,0.0,0.0,0.0,248.0
10,71.0,42.0,552.0,13.1,3.0,0.0,0.0,0.0,113.2
11,154.0,98.0,1147.0,11.7,7.0,1.0,2.0,0.0,254.9
12,119.0,79.0,1189.0,15.1,8.0,1.0,6.0,0.0,246.5
13,139.0,90.0,1134.0,12.6,2.0,17.0,115.0,1.0,232.9
14,93.0,63.0,866.0,13.7,7.0,2.0,34.0,0.0,197.0
15,125.0,72.0,1112.0,15.4,6.0,3.0,17.0,0.0,222.42
16,110.0,82.0,1057.0,12.9,8.0,4.0,-5.0,0.0,235.2
17,133.0,74.0,1035.0,14.0,4.0,3.0,10.0,0.0,201.3
18,84.0,52.0,1051.0,20.2,8.0,3.0,60.0,1.0,217.1
19,134.0,94.0,1161.0,12.4,10.0,2.0,4.0,0.0,270.5
20,93.0,58.0,919.0,15.8,7.0,0.0,0.0,0.0,191.9
21,149.0,104.0,1199.0,11.5,6.0,3.0,16.0,0.0,261.5
22,68.0,45.0,501.0,11.1,5.0,0.0,0.0,0.0,125.1
23,138.0,83.0,1174.0,14.1,6.0,1.0,10.0,0.0,237.4
24,118.0,73.0,1008.0,13.8,8.0,2.0,20.0,0.0,225.8
25,121.0,72.0,1202.0,16.7,9.0,0.0,0.0,0.0,246.2
26,100.0,58.0,900.0,15.5,7.0,2.0,11.0,0.0,187.1
27,113.0,66.0,1107.0,16.8,6.0,0.0,0.0,0.0,212.7
28,91.0,62.0,779.0,12.6,9.0,2.0,0.0,0.0,193.9
29,147.0,90.0,1046.0,11.6,5.0,4.0,23.0,0.0,222.9
31,83.0,57.0,576.0,10.1,3.0,6.0,72.0,0.0,141.8
32,71.0,46.0,584.0,12.7,7.0,0.0,0.0,0.0,146.4
33,122.0,78.0,833.0,10.7,6.0,1.0,4.0,0.0,197.7
34,94.0,63.0,1130.0,17.9,6.0,5.0,61.0,0.0,212.1
35,153.0,100.0,1117.0,11.2,6.0,8.0,27.0,0.0,256.28
36,92.0,59.0,680.0,11.5,5.0,4.0,41.0,0.0,163.1
37,108.0,68.0,709.0,10.4,3.0,10.0,93.0,0.0,168.2
38,85.0,49.0,676.0,13.8,6.0,1.0,16.0,0.0,152.2
39,60.0,32.0,428.0,13.4,3.0,0.0,0.0,0.0,90.8
40,72.0,42.0,583.0,13.9,2.0,6.0,52.0,0.0,117.5
42,96.0,52.0,779.0,15.0,5.0,1.0,4.0,0.0,162.3
43,81.0,57.0,802.0,14.1,3.0,14.0,159.0,3.0,189.1
44,97.0,66.0,869.0,13.2,5.0,0.0,0.0,0.0,190.3
45,83.0,48.0,740.0,15.4,8.0,0.0,0.0,0.0,170.0
46,71.0,49.0,670.0,13.7,3.0,0.0,0.0,0.0,134.0
47,115.0,72.0,1060.0,14.7,6.0,2.0,7.0,0.0,219.82
48,106.0,54.0,627.0,11.6,6.0,19.0,130.0,1.0,171.7
49,90.0,49.0,1001.0,20.4,2.0,1.0,2.0,0.0,161.3
50,66.0,36.0,645.0,17.9,6.0,2.0,16.0,0.0,138.1
51,41.0,26.0,538.0,20.7,6.0,4.0,17.0,0.0,119.5
53,24.0,12.0,105.0,8.8,2.0,5.0,49.0,0.0,39.4
57,71.0,49.0,605.0,12.3,4.0,0.0,0.0,0.0,133.5
58,10.0,9.0,159.0,17.7,2.0,0.0,0.0,0.0,36.9
59,109.0,75.0,804.0,10.7,4.0,0.0,0.0,0.0,177.4
60,84.0,52.0,656.0,12.6,2.0,1.0,-1.0,0.0,127.5
61,105.0,67.0,778.0,11.6,6.0,0.0,0.0,0.0,184.8
62,101.0,66.0,660.0,10.0,3.0,5.0,27.0,0.0,156.7
63,97.0,62.0,678.0,10.9,1.0,0.0,0.0,0.0,140.56
64,74.0,49.0,446.0,9.1,1.0,4.0,12.0,0.0,98.8
65,90.0,52.0,673.0,12.9,3.0,2.0,12.0,0.0,138.5
66,56.0,34.0,310.0,9.1,4.0,9.0,85.0,1.0,109.5
67,24.0,18.0,127.0,7.1,1.0,4.0,34.0,0.0,38.1
68,83.0,55.0,828.0,15.1,3.0,3.0,11.0,0.0,154.9
69,69.0,43.0,601.0,14.0,2.0,0.0,0.0,0.0,115.1
71,52.0,35.0,477.0,13.6,3.0,1.0,21.0,0.0,102.8
72,90.0,47.0,775.0,16.5,5.0,0.0,0.0,0.0,156.5
74,89.0,59.0,520.0,8.8,2.0,3.0,11.0,0.0,124.1
76,47.0,37.0,374.0,10.1,2.0,1.0,1.0,0.0,86.5
77,62.0,43.0,351.0,8.2,1.0,5.0,45.0,0.0,89.4
78,40.0,21.0,326.0,15.5,1.0,5.0,23.0,0.0,61.9
79,5.0,3.0,32.0,10.7,0.0,0.0,0.0,0.0,6.2
80,79.0,44.0,735.0,16.7,3.0,0.0,0.0,0.0,133.5
82,64.0,42.0,651.0,15.5,6.0,0.0,0.0,0.0,143.1
83,73.0,43.0,490.0,11.4,4.0,1.0,2.0,1.0,122.2
86,54.0,29.0,397.0,13.7,5.0,3.0,21.0,0.0,100.8
87,56.0,30.0,421.0,14.0,2.0,3.0,18.0,0.0,85.9
89,46.0,31.0,339.0,10.9,5.0,2.0,2.0,0.0,95.1
91,55.0,40.0,561.0,14.0,4.0,0.0,0.0,0.0,120.1
94,48.0,32.0,416.0,13.0,2.0,0.0,0.0,0.0,83.6
95,56.0,28.0,506.0,18.1,3.0,3.0,4.0,0.0,95.0
96,20.0,13.0,198.0,15.2,3.0,0.0,0.0,0.0,50.8
97,44.0,30.0,358.0,11.9,5.0,0.0,0.0,0.0,97.8
98,44.0,30.0,365.0,12.2,0.0,0.0,0.0,0.0,66.94
99,25.0,18.0,234.0,13.0,5.0,0.0,0.0,0.0,71.4
100,34.0,17.0,301.0,17.7,2.0,3.0,25.0,0.0,59.6
101,32.0,19.0,164.0,8.6,0.0,4.0,5.0,1.0,45.9
102,24.0,13.0,200.0,15.4,1.0,2.0,16.0,0.0,40.6
105,19.0,12.0,219.0,18.3,1.0,0.0,0.0,0.0,39.9
106,72.0,41.0,607.0,14.8,5.0,2.0,16.0,0.0,135.3
107,41.0,26.0,359.0,13.8,0.0,0.0,0.0,0.0,61.9
108,13.0,9.0,189.0,21.0,1.0,4.0,15.0,0.0,35.4
109,24.0,11.0,91.0,8.3,0.0,0.0,0.0,0.0,20.1
110,55.0,32.0,449.0,14.0,4.0,0.0,0.0,0.0,100.9
113,45.0,31.0,294.0,9.5,3.0,1.0,6.0,0.0,79.0
114,54.0,26.0,452.0,17.4,2.0,2.0,9.0,0.0,84.1
115,12.0,9.0,170.0,18.9,1.0,1.0,-5.0,0.0,29.5
116,5.0,3.0,115.0,38.3,1.0,0.0,0.0,0.0,20.5
117,21.0,12.0,186.0,15.5,1.0,1.0,15.0,0.0,38.1
118,17.0,6.0,56.0,9.3,0.0,0.0,0.0,0.0,11.6
119,17.0,11.0,83.0,7.5,0.0,17.0,103.0,0.0,35.6
120,38.0,18.0,186.0,10.3,1.0,0.0,0.0,0.0,42.6
121,42.0,21.0,187.0,8.9,1.0,1.0,3.0,0.0,46.0
122,41.0,24.0,300.0,12.5,2.0,0.0,0.0,0.0,66.0
123,55.0,34.0,287.0,8.4,2.0,1.0,7.0,0.0,75.4
124,30.0,17.0,225.0,13.2,0.0,3.0,52.0,1.0,48.7
125,47.0,26.0,198.0,7.6,1.0,0.0,0.0,0.0,51.8
127,10.0,4.0,55.0,13.8,1.0,0.0,0.0,0.0,15.5
129,32.0,21.0,271.0,12.9,2.0,0.0,0.0,0.0,60.1
130,80.0,40.0,575.0,14.4,1.0,0.0,0.0,0.0,101.5
131,52.0,28.0,297.0,10.6,1.0,0.0,0.0,0.0,63.7
133,35.0,24.0,361.0,15.0,3.0,1.0,6.0,0.0,78.7
134,4.0,3.0,18.0,6.0,0.0,1.0,1.0,0.0,4.9
135,26.0,15.0,159.0,10.6,2.0,0.0,0.0,0.0,42.9
136,22.0,10.0,169.0,16.9,1.0,0.0,0.0,0.0,32.9
137,9.0,5.0,113.0,22.6,1.0,0.0,0.0,0.0,22.3
139,1.0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,8.5
140,16.0,9.0,184.0,20.4,1.0,0.0,0.0,0.0,33.4
141,6.0,6.0,24.0,4.0,0.0,4.0,31.0,0.0,15.5
142,7.0,6.0,69.0,11.5,0.0,0.0,0.0,0.0,12.9
143,40.0,28.0,254.0,9.1,1.0,1.0,5.0,0.0,59.9
144,13.0,6.0,115.0,19.2,0.0,0.0,0.0,0.0,15.5
145,39.0,27.0,254.0,9.4,1.0,8.0,49.0,0.0,63.3
146,22.0,12.0,200.0,16.7,1.0,0.0,0.0,0.0,38.0
147,35.0,25.0,329.0,13.2,4.0,0.0,0.0,0.0,81.9
148,68.0,39.0,363.0,9.3,3.0,2.0,7.0,0.0,94.0
151,1.0,1.0,11.0,11.0,0.0,0.0,0.0,0.0,2.1
153,31.0,16.0,218.0,13.6,0.0,0.0,0.0,0.0,37.8
154,78.0,43.0,529.0,12.3,0.0,5.0,33.0,0.0,96.24
155,19.0,12.0,166.0,13.8,1.0,0.0,0.0,0.0,34.6
156,33.0,25.0,243.0,9.7,1.0,1.0,2.0,0.0,55.5
157,14.0,11.0,162.0,14.7,0.0,0.0,0.0,0.0,25.2
158,16.0,6.0,30.0,5.0,0.0,0.0,0.0,0.0,9.0
159,7.0,5.0,46.0,9.2,0.0,0.0,0.0,0.0,9.6
160,16.0,12.0,170.0,14.2,1.0,0.0,0.0,0.0,35.0
162,12.0,8.0,106.0,13.3,0.0,0.0,0.0,0.0,18.6
163,10.0,3.0,60.0,20.0,0.0,0.0,0.0,0.0,9.0
164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,2.0,2.0,70.0,35.0,0.0,0.0,0.0,0.0,9.0
166,33.0,23.0,244.0,10.6,0.0,1.0,11.0,0.0,48.5
168,46.0,32.0,359.0,11.2,1.0,0.0,0.0,0.0,71.9
172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,3.0,2.0,17.0,8.5,0.0,0.0,0.0,0.0,3.7
175,1.0,1.0,16.0,16.0,0.0,0.0,0.0,0.0,2.6
177,4.0,3.0,21.0,7.0,0.0,1.0,0.0,0.0,5.1
179,2.0,1.0,-2.0,-2.0,0.0,1.0,9.0,0.0,11.7
180,2.0,1.0,6.0,6.0,0.0,2.0,5.0,0.0,2.1
181,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,8.0,6.0,31.0,5.2,0.0,3.0,6.0,0.0,7.7
184,13.0,9.0,124.0,13.8,0.0,0.0,0.0,0.0,21.4
186,10.0,6.0,165.0,27.5,1.0,2.0,-1.0,0.0,26.4
188,5.0,3.0,28.0,9.3,0.0,0.0,0.0,0.0,5.8
189,6.0,3.0,20.0,6.7,0.0,1.0,7.0,0.0,5.7
190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
191,11.0,8.0,27.0,3.4,0.0,0.0,0.0,0.0,10.7
192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3.0,2.0,34.0,17.0,0.0,0.0,0.0,0.0,3.4
194,3.0,2.0,15.0,7.5,0.0,0.0,0.0,0.0,-0.5
195,3.0,2.0,22.0,11.0,0.0,1.0,5.0,0.0,4.7
196,11.0,8.0,111.0,13.9,0.0,4.0,73.0,1.0,28.4
197,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.9
198,12.0,4.0,80.0,20.0,0.0,0.0,0.0,0.0,12.0
199,9.0,4.0,51.0,12.8,0.0,0.0,0.0,0.0,9.1
