,2020 TAR,2020 REC,2020 REC YARDS,2020 AVG REC YARDS,2020 REC TDS,2020 RUSH CAR,2020 RUSH YARDS,2020 RUSH TDS,2020 FPTS
97,34.0,22.0,276.0,12.7,2.0,0.0,0.0,0.0,63.92
98,40.0,24.0,313.0,12.9,1.0,0.0,0.0,0.0,63.84
99,33.0,20.0,280.0,13.7,2.0,0.0,0.0,0.0,63.38
100,28.0,16.0,246.0,15.5,2.0,4.0,27.0,0.0,57.49
101,34.0,21.0,247.0,11.8,1.0,0.0,0.0,0.0,56.65
102,30.0,17.0,227.0,13.5,2.0,4.0,21.0,0.0,52.01
105,26.0,16.0,223.0,13.7,1.0,0.0,0.0,0.0,47.02
106,26.0,16.0,217.0,13.8,2.0,0.0,0.0,0.0,46.97
107,26.0,16.0,213.0,13.2,1.0,0.0,0.0,0.0,44.31
108,22.0,14.0,179.0,13.0,1.0,4.0,20.0,0.0,42.76
109,24.0,15.0,181.0,11.7,1.0,0.0,0.0,0.0,40.96
110,23.0,14.0,179.0,13.2,1.0,0.0,0.0,0.0,39.99
113,20.0,13.0,162.0,12.5,1.0,0.0,0.0,0.0,35.04
114,21.0,11.0,173.0,15.3,1.0,0.0,0.0,0.0,34.96
115,18.0,11.0,156.0,13.9,1.0,0.0,0.0,0.0,34.27
116,18.0,11.0,151.0,13.3,1.0,0.0,0.0,0.0,31.81
117,19.0,10.0,153.0,15.1,1.0,0.0,0.0,0.0,31.81
118,20.0,11.0,149.0,13.1,1.0,0.0,0.0,0.0,31.27
119,9.0,6.0,60.0,9.4,0.0,15.0,88.0,0.0,27.74
120,17.0,10.0,128.0,12.3,1.0,0.0,0.0,0.0,27.36
121,16.0,10.0,119.0,11.8,1.0,0.0,0.0,0.0,27.24
122,17.0,10.0,136.0,13.6,1.0,0.0,0.0,0.0,27.24
123,17.0,11.0,122.0,11.4,1.0,0.0,0.0,0.0,27.22
124,16.0,9.0,123.0,13.5,1.0,2.0,11.0,0.0,27.14
125,17.0,11.0,118.0,11.0,1.0,0.0,0.0,0.0,26.94
127,15.0,9.0,123.0,13.3,1.0,0.0,0.0,0.0,26.78
129,17.0,11.0,122.0,11.4,1.0,0.0,0.0,0.0,26.51
130,16.0,9.0,119.0,13.2,1.0,0.0,0.0,0.0,25.0
131,15.0,10.0,104.0,10.7,1.0,0.0,0.0,0.0,23.67
133,14.0,8.0,118.0,14.9,1.0,0.0,0.0,0.0,22.72
134,13.0,8.0,99.0,13.1,1.0,0.0,0.0,0.0,21.2
135,12.0,7.0,87.0,12.0,1.0,0.0,0.0,0.0,20.23
136,12.0,7.0,91.0,13.5,1.0,0.0,0.0,0.0,19.98
137,11.0,7.0,93.0,13.8,1.0,0.0,0.0,0.0,19.92
139,11.0,7.0,90.0,13.0,1.0,0.0,0.0,0.0,19.69
140,12.0,8.0,89.0,11.5,0.0,0.0,0.0,0.0,19.56
141,8.0,5.0,66.0,12.8,0.0,2.0,11.0,0.0,19.48
142,12.0,7.0,93.0,12.8,0.0,0.0,0.0,0.0,19.13
143,10.0,7.0,71.0,10.6,0.0,2.0,11.0,0.0,18.52
144,10.0,6.0,83.0,12.8,0.0,0.0,0.0,0.0,18.41
145,10.0,6.0,66.0,10.3,0.0,4.0,25.0,0.0,18.36
146,10.0,6.0,82.0,13.7,1.0,0.0,0.0,0.0,17.82
147,10.0,6.0,79.0,13.8,1.0,0.0,0.0,0.0,16.66
148,10.0,6.0,68.0,10.8,0.0,0.0,0.0,0.0,16.08
151,7.0,4.0,57.0,12.8,0.0,0.0,0.0,0.0,12.96
153,8.0,5.0,57.0,12.6,0.0,0.0,0.0,0.0,12.05
154,5.0,3.0,40.0,11.9,0.0,4.0,24.0,0.0,11.92
155,8.0,4.0,57.0,12.9,0.0,0.0,0.0,0.0,11.8
156,6.0,4.0,42.0,10.6,0.0,0.0,0.0,0.0,11.47
157,5.0,4.0,43.0,11.7,0.0,0.0,0.0,0.0,10.96
158,7.0,4.0,53.0,14.7,0.0,0.0,0.0,0.0,10.81
159,6.0,3.0,45.0,13.1,0.0,0.0,0.0,0.0,10.32
160,6.0,4.0,46.0,13.1,0.0,0.0,0.0,0.0,10.09
162,6.0,4.0,47.0,13.0,0.0,0.0,0.0,0.0,9.6
163,6.0,3.0,45.0,13.5,0.0,0.0,0.0,0.0,9.56
164,6.0,3.0,44.0,12.7,0.0,0.0,0.0,0.0,9.39
165,5.0,3.0,43.0,13.5,0.0,0.0,0.0,0.0,9.19
166,6.0,4.0,43.0,11.7,0.0,0.0,0.0,0.0,9.18
168,5.0,3.0,41.0,12.5,0.0,0.0,0.0,0.0,8.88
172,5.0,3.0,39.0,12.8,0.0,0.0,0.0,0.0,8.26
174,5.0,3.0,37.0,12.2,0.0,0.0,0.0,0.0,8.19
175,5.0,3.0,37.0,12.9,0.0,0.0,0.0,0.0,8.15
177,5.0,3.0,34.0,12.4,0.0,0.0,0.0,0.0,7.77
179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.61
180,2.0,2.0,18.0,11.7,0.0,0.0,0.0,0.0,5.32
181,3.0,2.0,22.0,13.3,0.0,0.0,0.0,0.0,4.88
182,3.0,2.0,19.0,11.8,0.0,0.0,0.0,0.0,4.86
184,3.0,2.0,23.0,13.1,0.0,0.0,0.0,0.0,4.84
186,1.0,1.0,8.0,14.0,0.0,0.0,0.0,0.0,4.71
